Branch Name,Street Address,County,State,Zipcode
boston branch,"50 ROWES WHARF, FLOOR 4",Suffolk,MA,2110.0
milford (ford street) branch,370 BOSTON POST ROAD,New Haven,CT,6460.0
milford banking center branch,1651 BOSTON POST ROAD,,CT,6460.0
monroe ct branch,456 MONROE TURNPIKE,Fairfield,CT,6468.0
newtown branch,30 CHURCH HILL ROAD,Fairfield,CT,6470.0
boston post road & racebrook banking center,262 BOSTON POST ROAD,New Haven,CT,6477.0
shelton branch,675 BRIDGEPORT AVENUE,Fairfield,CT,6484.0
southbury green banking ctr branch,775 MAIN STREET SOUTH,New Haven,CT,6488.0
new haven church street branch,234 CHURCH STREET,New Haven,CT,6510.0
woodbridge amity rte 15 branch,149 AMITY ROAD,New Haven,CT,6515.0
bridgeport west side branch,1460 STATE STREET,Fairfield,CT,3324125.0
bridgeport north end branch,2125 MAIN STREET,Fairfield,CT,
bridgeport boston avenue branch,123 BOSTON AVENUE,Fairfield,CT,6610.0
trumbull quality street branch,"80 QUALITY STREET, TOWN HALL SC",Fairfield,CT,6611.0
trumbull center banking center branch,958 WHITE PLAINS ROAD,,CT,6611.0
stratford barnum avenue branch,2855 MAIN STREET,Fairfield,CT,6614.0
bethel library place bnkg ctr branch,9 DURANT AVE,Fairfield,CT,6801.0
cos cob banking center branch,371 EAST PUTNAM AVENUE,Fairfield,CT,6807.0
stony hill branch,111 NEWTON ROAD,Fairfield,CT,6810.0
danbury shoprite branch,"1-A PADANARAMA ROAD, NORTH STREET SC",Fairfield,CT,6811.0
danbury lake ave branch,42 LAKE AVE EXT,,CT,6811.0
federal road danbury,99 FEDERAL ROAD,,CT,6811.0
darien branch,454 POST ROAD,Fairfield,CT,6820.0
noroton heights banking ctr branch,165 NOROTON AVENUE,Fairfield,CT,6820.0
fairfield center branch,1401 POST ROAD,Fairfield,CT,6824.0
greenfield hill branch,161 HILLSIDE ROAD,Fairfield,CT,6824.0
fairfield kings crossing bnk ctr branch,340 GRASMERE AVENUE,Fairfield,CT,6824.0
fairfield woods branch,2272 BLACK ROCK TURNPIKE,Fairfield,,6825.0
greenwich financial center branch,3A PICKWICK PLAZA,Fairfield,,6830.0
mason street private banking branch,"191 MASON STREET, ELM STREET",Fairfield,,6830.0
greenwich avenue branch,197 GREENWICH AVENUE,,,6830.0
west putnam and valley branch,500 WEST PUTNAM AVENUE,,,6830.0
greenwich deerfield branch,111 W PUTNAM AVE,,,6830.0
glenville branch,21 GLENVILLE STREET,,,6831.0
banksville branch,1073 NORTH STREET,,,6831.0
new canaan branch,21 EAST AVENUE,Fairfield,,6840.0
new canaan drive-in branch,21 EAST AVENUE,Fairfield,,6840.0
norwalk waypointe branch,515 WEST AVENUE,Fairfield,,6850.0
south norwalk branch,50 WASHINGTON STREET,Fairfield,,6854.0
greenwich branch,260 SOUND BEACH AVENUE,Fairfield,CT,6870.0
ridgefield branch,92-98 GROVE STREET,Fairfield,CT,6877.0
riverside branch,1150 EAST PUTNAM AVENUE,Fairfield,CT,6878.0
westport main street branch,184 MAIN STREET,Fairfield,CT,6880.0
greens farms branch,1090 POST ROAD EAST,,CT,6880.0
southport branch,292 PEQUOT AVENUE,Fairfield,CT,6890.0
south wilton branch,34 DANBURY ROAD,Fairfield,CT,6897.0
wilton center branch,33 OLD RIDGEFIELD ROAD,,CT,6897.0
georgetown danbury road banking center,920 DANBURY ROAD,,CT,6897.0
stamford prospect street branch,45 PROSPECT STREET,Fairfield,CT,6901.0
high ridge road branch,1037 HIGH RIDGE ROAD,,CT,6905.0
stamford newfield avenue branch,559 NEWFIELD AVENUE,Fairfield,CT,6905.0
avenel branch,1342 ST. GEORGES AVENUE,Middlesex,NJ,7001.0
bayonne 20th st branch,439 BROADWAY,,NJ,7002.0
bayonne 30th st branch,650 BROADWAY,Hudson,NJ,7002.0
fairfield corp ctr middle mkt branch,695 ROUTE 46 WEST,,NJ,7004.0
fairfield passaic branch,387 PASSAIC AVENUE,Essex,NJ,7004.0
boonton branch,"530 MYRTLE AVENUE, A&P",,NJ,7005.0
boonton monroe branch,100 MONROE STREET,Morris,NJ,
west caldwell branch,865 BLOOMFIELD AVENUE,Essex,nj,3324125.0
cedar grove pompton branch,664 POMPTON AVENUE,Essex,nj,3324125.0
clifton branch,1459 MAIN AVENUE,Passaic,nj,
clifton van houten branch,963 VAN HOUTEN AVENUE,Passaic,nj,7013.0
cranford banking center branch,40 SOUTH AVENUE WEST,Union,nj,7016.0
edgewater branch,725 RIVER ROAD,Bergen,nj,7020.0
river rd and tower dr branch,950 RIVER ROAD,Bergen,nj,7020.0
fairview branch,153 BERGEN BLVD,Bergen,nj,7022.0
fort lee branch,188-190 MAIN STREET,Bergen,nj,7024.0
garfield branch,136 PASSAIC STREET,Bergen,nj,7026.0
hoboken branch,125 RIVER STREET,Hudson,nj,7030.0
hoboken 14th st and garden branch,200 14TH STREET,Hudson,nj,7030.0
north arlington branch,23 RIDGE ROAD,Bergen,nj,7031.0
kearny banking center branch,272 KEARNY AVAENUE,Hudson,nj,7032.0
kearny ave branch,11 KEARNY AVENUE,Hudson,nj,7032.0
lake hiawatha branch,53 NORTH BEVERWYCK ROAD,Morris,nj,7034.0
linden branch,235 NORTH WOOD AVENUE,Union,NJ,7036.0
livingston banking center branch,56 WEST MOUNT PLEASANT AVENUE,Essex,NJ,7039.0
millburn banking center branch,279 MILLBURN AVENUE,Essex,NJ,7041.0
millburn driveup branch,281 MILLBURN AVENUE,,NJ,7041.0
montclair branch,19 NORTH FULLERTON AVENUE,,NJ,7042.0
watchung plaza branch,17 WATCHUNG PLAZA,,NJ,7042.0
montclair - private banking branch,483 BLOOMFIELD AVENUE,,NJ,7042.0
montclair drive-in branch,19 NORTH FULLERTON AVENUE,Essex,NJ,7042.0
upper montclair branch,580 VALLEY ROAD,Essex,NJ,7043.0
